@relation Data

@attribute index numeric
@attribute X numeric
@attribute Y numeric
@attribute Z numeric
@attribute class {1  2  3  4}

@data
624,-0.881755,4.790431,-7.494320,1
625,-2.439483,6.364908,-10.924432,1
626,-4.460221,6.381658,-8.604590,1
627,-3.846462,2.673979,-3.479164,1
628,-3.177669,-4.534399,24.519253,1
629,-10.016356,-14.525630,25.812574,1
630,-16.575083,-18.711874,13.657035,1
631,-9.354740,-11.326426,8.289934,1
632,-8.426325,-1.302892,5.617151,1
633,-3.523431,-8.981460,-10.876575,1
634,-9.256635,-21.109482,2.184647,1
635,1.362713,-15.856039,-20.879770,1
636,2.919244,-11.641082,-3.589234,1
637,-7.290931,-13.311273,-14.145171,1
638,-6.453443,-14.598611,-11.231910,1
639,-2.443072,-20.133209,-6.812366,1
640,0.187837,-17.588444,-3.227918,1
641,2.446661,-11.892328,-5.230711,1
642,6.555138,-9.591630,-6.792027,1
643,7.648658,-7.085148,2.801995,1
644,4.234100,-5.930611,5.717650,1
645,3.734000,-8.648857,6.392426,1
646,1.834099,-11.146964,9.270991,1
647,-2.020739,-11.816955,11.350354,1
648,-4.680361,-11.766706,8.482556,1
649,-3.087938,-11.800205,-0.819542,1
650,-2.189433,-12.023933,1.770689,1
651,3.984050,-13.570893,9.487542,1
652,8.863015,-14.400006,-0.264407,1
653,7.022934,-12.958331,4.007978,1
